interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2023-08-01,2023-09-01,-0.00024399480025749654,0.0004544468247331679,5.1246339688385415e-05,0.0001164327962852951,65536,48205,NUTS_SL_01m_2024.shp,SI,2023,August,8
2023-09-01,2023-10-01,-0.0003371672355569899,0.0005396261694841087,0.00013810366795324747,0.00015158665509549794,65536,53329,NUTS_SL_01m_2024.shp,SI,2023,September,9
2023-10-01,2023-11-01,-0.00038542388938367367,0.0007062139920890331,4.9891235620808076e-05,0.00017968845818348405,65536,55703,NUTS_SL_01m_2024.shp,SI,2023,October,10
2023-12-01,2024-01-01,-0.00027089816285297275,0.0005230653332546353,0.00010359955105084708,0.00025109975023587897,65536,64284,NUTS_SL_01m_2024.shp,SI,2023,December,12
2024-01-01,2024-02-01,-0.0005944140139035881,0.0006162170902825892,2.5614877751070177e-05,0.00021355320220510285,65536,53981,NUTS_SL_01m_2024.shp,SI,2024,January,1
2024-02-01,2024-03-01,-0.0003680406662169844,0.0003433933015912771,5.244906596994875e-05,0.00013768337877908586,65536,63572,NUTS_SL_01m_2024.shp,SI,2024,February,2
2024-03-01,2024-04-01,-0.0002982146106660366,0.00028199885855428874,-3.183980552398122e-06,0.00011087665749268473,65536,63975,NUTS_SL_01m_2024.shp,SI,2024,March,3
2024-04-01,2024-05-01,-0.0004504317475948483,0.0005688544479198754,8.12848668525223e-05,0.00014390105840037722,65536,32151,NUTS_SL_01m_2024.shp,SI,2024,April,4
2024-05-01,2024-06-01,-0.0002658585144672543,0.0006942590698599815,7.340412396669577e-05,0.00011991292549204463,65536,59127,NUTS_SL_01m_2024.shp,SI,2024,May,5
2024-06-01,2024-07-01,-0.00023293525737244636,0.00045670708641409874,0.00011713830126292246,0.00011304388453524484,65536,44025,NUTS_SL_01m_2024.shp,SI,2024,June,6
2024-07-01,2024-08-01,-0.0003031336236745119,0.0005693003186024725,0.0001236038698946265,0.00013213404394062068,65536,31731,NUTS_SL_01m_2024.shp,SI,2024,July,7
2024-08-01,2024-09-01,-0.0003209393471479416,0.0006752462941221893,0.00016124901676997002,0.00014979074866612268,65536,33797,NUTS_SL_01m_2024.shp,SI,2024,August,8
2024-09-01,2024-10-01,-0.000791431637480855,0.0007158081862144172,5.458848205111845e-05,0.00019002138358164194,65536,32430,NUTS_SL_01m_2024.shp,SI,2024,September,9
2024-10-01,2024-11-01,-0.0005540477577596903,0.0007031976711004972,8.351463236843567e-05,0.00018944723966801065,65536,35985,NUTS_SL_01m_2024.shp,SI,2024,October,10
2024-11-01,2024-12-01,-0.0004545924311969429,0.0010147414868697524,0.00011173268808749671,0.00023665930766104482,65536,39496,NUTS_SL_01m_2024.shp,SI,2024,November,11
2024-12-01,2025-01-01,-0.0004746151971630752,0.0008133951341733336,0.00011980139332972213,0.00022655630338511685,65536,52135,NUTS_SL_01m_2024.shp,SI,2024,December,12
2018-04-01,2018-05-01,6.158432370284572e-05,0.0006105898064561188,0.0003643130585649471,0.00016418702886038185,65536,64321,NUTS_SL_01m_2024.shp,SI0,2018,April,4
2018-05-01,2018-06-01,-0.00017997188842855394,0.0008560881833545864,0.00012552946451085847,0.00011760498220702727,65536,44131,NUTS_SL_01m_2024.shp,SI0,2018,May,5
2018-06-01,2018-07-01,-0.00025429893867112696,0.0004002113710157573,0.00011033059730347218,0.00010596393784271548,65536,49011,NUTS_SL_01m_2024.shp,SI0,2018,June,6
2018-07-01,2018-08-01,-0.00011874909250764176,0.0003843159938696772,0.00011916799773900168,8.146437045015801e-05,65536,33304,NUTS_SL_01m_2024.shp,SI0,2018,July,7
2018-08-01,2018-09-01,1.1473720405774657e-05,0.00028297604876570404,0.0001516596658164879,0.00011687334995692998,65536,65268,NUTS_SL_01m_2024.shp,SI0,2018,August,8
2018-09-01,2018-10-01,-0.0004755530972033739,0.0006814042571932077,9.132824743393188e-05,0.0001621507810163805,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,September,9
2018-10-01,2018-11-01,-0.0003320404211990535,0.0005071419873274863,2.896274468185627e-05,0.00011991272399691457,65536,39689,NUTS_SL_01m_2024.shp,SI0,2018,October,10
2018-12-01,2019-01-01,-0.0003777001693379134,0.0005887903389520943,4.945095502529385e-05,0.00014612872880915686,65536,42085,NUTS_SL_01m_2024.shp,SI0,2018,December,12
2019-01-01,2019-02-01,-0.00021091991220600903,0.00039036822272464633,2.5341888588108923e-05,9.978760735901795e-05,65536,63902,NUTS_SL_01m_2024.shp,SI0,2019,January,1
2019-02-01,2019-03-01,-0.00013584468979388475,0.0002850384043995291,6.239237982018367e-05,0.0001036931794606651,65536,64141,NUTS_SL_01m_2024.shp,SI0,2019,February,2
2019-03-01,2019-04-01,-0.00034798961132764816,0.0005444272537715733,8.877624432047705e-05,0.00014672098964830035,65536,32911,NUTS_SL_01m_2024.shp,SI0,2019,March,3
2019-05-01,2019-06-01,-0.00015002459986135364,0.0002539126144256443,2.623401176472689e-05,7.597614384125493e-05,65536,60925,NUTS_SL_01m_2024.shp,SI0,2019,May,5
