interval_from,interval_to,co_B0_min,co_B0_max,co_B0_mean,co_B0_stDev,co_B0_sampleCount,co_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2020-10-01,2020-11-01,0.020195020362734795,0.035422444343566895,0.029209155823613515,0.0028477135253225584,65536,43878,NUTS_SL_01m_2024.shp,SI,2020,October,10
2020-11-01,2020-12-01,0.026039404794573784,0.036765120923519135,0.03139558476066728,0.0020947232974731205,65536,37386,NUTS_SL_01m_2024.shp,SI,2020,November,11
2020-12-01,2021-01-01,0.030885737389326096,0.032824862748384476,0.03196302925546964,0.0009635591377218279,65536,65527,NUTS_SL_01m_2024.shp,SI,2020,December,12
2021-01-01,2021-02-01,0.027015645056962967,0.03101099096238613,0.028824771573739274,0.001042491196807003,65536,65469,NUTS_SL_01m_2024.shp,SI,2021,January,1
2021-02-01,2021-03-01,0.027151072397828102,0.03618865832686424,0.03243647986274283,0.002069954320907181,65536,46233,NUTS_SL_01m_2024.shp,SI,2021,February,2
2021-03-01,2021-04-01,0.0260575283318758,0.04191276431083679,0.03561661500619438,0.002639901863531524,65536,42279,NUTS_SL_01m_2024.shp,SI,2021,March,3
2021-04-01,2021-05-01,0.025697356089949608,0.03813571110367775,0.0311325384852226,0.0021161974427934198,65536,45520,NUTS_SL_01m_2024.shp,SI,2021,April,4
2021-05-01,2021-06-01,0.02303490974009037,0.03870347514748573,0.029348355569531106,0.002406660619383853,65536,47854,NUTS_SL_01m_2024.shp,SI,2021,May,5
2021-06-01,2021-07-01,0.014486056752502918,0.0381668359041214,0.024625188007484745,0.003452627470410647,65536,34729,NUTS_SL_01m_2024.shp,SI,2021,June,6
2021-07-01,2021-08-01,0.019838379696011543,0.038497552275657654,0.02900646260245089,0.003247066071546298,65536,39666,NUTS_SL_01m_2024.shp,SI,2021,July,7
2021-08-01,2021-09-01,0.02941531129181385,0.04597924277186394,0.03807800356009746,0.002896908241967186,65536,37814,NUTS_SL_01m_2024.shp,SI,2021,August,8
2021-09-01,2021-10-01,0.025998041033744812,0.0396164134144783,0.03293898406050254,0.00263644248070247,65536,55006,NUTS_SL_01m_2024.shp,SI,2021,September,9
