interval_from,interval_to,so2_B0_min,so2_B0_max,so2_B0_mean,so2_B0_stDev,so2_B0_sampleCount,so2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2021-08-01,2021-09-01,-0.001380575937218964,0.0015525911003351212,-5.0001034797753456e-05,0.00046709539295001817,65536,41431,NUTS_SL_01m_2024.shp,SI0,2021,August,8
2021-09-01,2021-10-01,-0.0009786346927285194,0.00226825219579041,5.2120871807566685e-05,0.0005815767947052318,65536,55677,NUTS_SL_01m_2024.shp,SI0,2021,September,9
2021-10-01,2021-11-01,-0.0010881411144509912,0.015794532373547554,0.0022707044765342874,0.003610222379907113,65536,64050,NUTS_SL_01m_2024.shp,SI0,2021,October,10
2021-11-01,2021-12-01,-0.0014894804917275906,0.008977685123682022,0.0018493262966940906,0.0023950502532235655,65536,60268,NUTS_SL_01m_2024.shp,SI0,2021,November,11
2021-12-01,2022-01-01,-0.0014988851035013795,0.011879823170602322,0.001920658844557159,0.0026914718786280106,65536,54555,NUTS_SL_01m_2024.shp,SI0,2021,December,12
2022-02-01,2022-03-01,-0.0014874214539304376,0.003853989765048027,0.00015718269560156201,0.0008655031927844689,65536,45426,NUTS_SL_01m_2024.shp,SI0,2022,February,2
2022-04-01,2022-05-01,-0.0013956116745248437,0.0016394368140026927,-2.2752009856498987e-05,0.0005318808434878698,65536,32562,NUTS_SL_01m_2024.shp,SI0,2022,April,4
2022-05-01,2022-06-01,-0.0014583808369934559,0.0012788537424057722,-1.65901022662188e-05,0.000343775510293273,65536,43285,NUTS_SL_01m_2024.shp,SI0,2022,May,5
2022-06-01,2022-07-01,-0.0007538663921877742,0.0012608057586476207,3.128556291775519e-05,0.0002656187575917545,65536,41588,NUTS_SL_01m_2024.shp,SI0,2022,June,6
2022-07-01,2022-08-01,-0.001077155233360827,0.0010942032095044851,4.739488996846818e-05,0.0004173921815869046,65536,52412,NUTS_SL_01m_2024.shp,SI0,2022,July,7
2022-08-01,2022-09-01,-0.0014312448911368847,0.0017801239155232906,8.091571680360998e-05,0.0006485674920393727,65536,59559,NUTS_SL_01m_2024.shp,SI0,2022,August,8
2022-09-01,2022-10-01,-0.0014624901814386249,0.002247313968837261,7.102856375574585e-05,0.000717867699311221,65536,59272,NUTS_SL_01m_2024.shp,SI0,2022,September,9
2022-10-01,2022-11-01,-0.001484809210523963,0.006954988930374384,0.0009095169526610246,0.0014457977080665151,65536,40065,NUTS_SL_01m_2024.shp,SI0,2022,October,10
2022-12-01,2023-01-01,-0.0014931777259334922,0.013068943284451962,0.002872904973211127,0.0030856341266971487,65536,49849,NUTS_SL_01m_2024.shp,SI0,2022,December,12
2023-01-01,2023-02-01,-0.0014916303334757686,0.006084340158849955,0.00044027294765258993,0.0011967911212662093,65536,38757,NUTS_SL_01m_2024.shp,SI0,2023,January,1
2023-03-01,2023-04-01,-0.001144992420449853,0.0011928485473617911,0.00014928818491171075,0.000666178266063404,65536,65066,NUTS_SL_01m_2024.shp,SI0,2023,March,3
