interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2022-01-01,2022-02-01,2.3468828658224083e-05,5.9717123804148287e-05,4.3527289158213445e-05,1.492769543792863e-05,65536,65327,NUTS_SL_01m_2024.shp,SI,2022,January,1
2022-02-01,2022-03-01,5.229823727859184e-06,0.0001160697138402611,4.714276709586367e-05,1.9706862931527752e-05,65536,48095,NUTS_SL_01m_2024.shp,SI,2022,February,2
2022-04-01,2022-05-01,-9.41641610552324e-06,5.126400719746016e-05,2.0754766112559603e-05,9.924669821228583e-06,65536,36095,NUTS_SL_01m_2024.shp,SI,2022,April,4
2022-05-01,2022-06-01,-1.05642111520865e-05,7.248984911711887e-05,2.2032674433655487e-05,1.1603864918973952e-05,65536,51193,NUTS_SL_01m_2024.shp,SI,2022,May,5
2022-06-01,2022-07-01,5.068795303486695e-07,5.574895840254612e-05,2.2238572343730392e-05,9.23583868037629e-06,65536,48380,NUTS_SL_01m_2024.shp,SI,2022,June,6
2022-07-01,2022-08-01,2.9260954761411995e-06,5.520452032214962e-05,2.429431408624003e-05,9.808567067682443e-06,65536,56291,NUTS_SL_01m_2024.shp,SI,2022,July,7
2022-08-01,2022-09-01,1.0879058208956849e-05,5.925346340518445e-05,3.648533536728721e-05,1.0583990208421046e-05,65536,61214,NUTS_SL_01m_2024.shp,SI,2022,August,8
2022-09-01,2022-10-01,-7.468253443221329e-06,5.454173151520081e-05,2.2082699102517304e-05,1.1508852955676862e-05,65536,61015,NUTS_SL_01m_2024.shp,SI,2022,September,9
2022-10-01,2022-11-01,-4.837062874685216e-07,0.0001270412321900949,3.584061806085896e-05,1.5414279349418867e-05,65536,35326,NUTS_SL_01m_2024.shp,SI,2022,October,10
2022-12-01,2023-01-01,-4.1328308725496754e-05,8.094216900644824e-05,2.0057866425878222e-05,2.0507954551530594e-05,65536,44603,NUTS_SL_01m_2024.shp,SI,2022,December,12
2023-01-01,2023-02-01,-4.844838713324862e-06,0.000180135975824669,4.2411463492442896e-05,2.4229322841037965e-05,65536,48554,NUTS_SL_01m_2024.shp,SI,2023,January,1
2023-02-01,2023-03-01,-1.9387678548810072e-05,5.17407497682143e-05,1.9928799107363773e-05,1.4271793809474512e-05,65536,62383,NUTS_SL_01m_2024.shp,SI,2023,February,2
2023-03-01,2023-04-01,1.4784897757635918e-05,2.5283916329499334e-05,1.9767887408211695e-05,3.3085190222910815e-06,65536,65019,NUTS_SL_01m_2024.shp,SI,2023,March,3
2023-04-01,2023-05-01,3.095762224347709e-07,3.739239036804065e-05,1.7046986114527392e-05,7.829649905665357e-06,65536,59731,NUTS_SL_01m_2024.shp,SI,2023,April,4
2023-05-01,2023-06-01,2.5617540813982487e-05,3.528332308633253e-05,2.9999477722812567e-05,3.1001704154792105e-06,65536,64751,NUTS_SL_01m_2024.shp,SI,2023,May,5
2023-06-01,2023-07-01,4.7433563850063365e-06,0.00010031888814410195,3.6847930657265995e-05,1.0742748866122926e-05,65536,35287,NUTS_SL_01m_2024.shp,SI,2023,June,6
2023-07-01,2023-08-01,-1.4002067473484203e-05,5.1214563427492976e-05,1.5150450143031054e-05,1.089450649623392e-05,65536,51377,NUTS_SL_01m_2024.shp,SI,2023,July,7
2023-08-01,2023-09-01,-1.1858594007208012e-05,4.539616929832846e-05,1.1164985981432923e-05,8.719741356184594e-06,65536,50226,NUTS_SL_01m_2024.shp,SI,2023,August,8
2023-09-01,2023-10-01,-4.280069788364926e-06,5.462398621602915e-05,2.30482690393382e-05,1.094120400806931e-05,65536,55486,NUTS_SL_01m_2024.shp,SI,2023,September,9
2023-10-01,2023-11-01,-2.1819003450218588e-05,7.138415821827948e-05,2.6765086696609292e-05,1.5810563806537413e-05,65536,58726,NUTS_SL_01m_2024.shp,SI,2023,October,10
2023-12-01,2024-01-01,-2.861012262656004e-06,5.925823643337935e-05,2.3820242388917798e-05,1.4159521948176023e-05,65536,62588,NUTS_SL_01m_2024.shp,SI,2023,December,12
2024-01-01,2024-02-01,1.1666357750073075e-05,0.00014531463966704905,6.810808846523934e-05,2.3331863044689816e-05,65536,52159,NUTS_SL_01m_2024.shp,SI,2024,January,1
2024-02-01,2024-03-01,1.5400581105495803e-05,9.032418165588751e-05,4.65558703763453e-05,2.2566966516279524e-05,65536,64697,NUTS_SL_01m_2024.shp,SI,2024,February,2
2024-03-01,2024-04-01,5.390612386690918e-06,3.510378155624494e-05,2.0281180341107968e-05,7.309591395486324e-06,65536,64682,NUTS_SL_01m_2024.shp,SI,2024,March,3
2024-04-01,2024-05-01,-1.0329023098165635e-05,6.847999611636624e-05,2.976103912768152e-05,1.070223526900427e-05,65536,32404,NUTS_SL_01m_2024.shp,SI,2024,April,4
2024-05-01,2024-06-01,-5.349205821403302e-06,6.714335904689506e-05,2.6599188263409657e-05,1.0967709900599068e-05,65536,61410,NUTS_SL_01m_2024.shp,SI,2024,May,5
2024-06-01,2024-07-01,-9.471219527767971e-06,3.4318920370424166e-05,1.409514887253879e-05,8.337929731652799e-06,65536,46319,NUTS_SL_01m_2024.shp,SI,2024,June,6
2024-07-01,2024-08-01,-6.110182312113466e-06,3.898073919117451e-05,1.8489700409533227e-05,6.586697284643916e-06,65536,31734,NUTS_SL_01m_2024.shp,SI,2024,July,7
