interval_from,interval_to,o3_B0_min,o3_B0_max,o3_B0_mean,o3_B0_stDev,o3_B0_sampleCount,o3_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2019-09-01,2019-10-01,0.12181976437568665,0.12549586594104767,0.12333616200708108,0.000658377708186934,65536,30118,NUTS_SL_01m_2024.shp,SI04,2019,September,9
2019-10-01,2019-11-01,0.13134650886058807,0.14172960817813873,0.13609303996278968,0.0018805570330858797,65536,30118,NUTS_SL_01m_2024.shp,SI04,2019,October,10
2019-11-01,2019-12-01,0.11665095388889313,0.12431860715150833,0.12075753555015585,0.0010370067999320649,65536,30118,NUTS_SL_01m_2024.shp,SI04,2019,November,11
2019-12-01,2020-01-01,0.13491632044315338,0.14158211648464203,0.13871171539466917,0.001151651852343259,65536,30118,NUTS_SL_01m_2024.shp,SI04,2019,December,12
2020-01-01,2020-02-01,0.13330484926700592,0.13893292844295502,0.13600000405548662,0.0010391162743172084,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,January,1
2020-02-01,2020-03-01,0.1313924938440323,0.14023545384407043,0.13561635075050946,0.0012912690642891936,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,February,2
2020-03-01,2020-04-01,0.18532079458236694,0.19364890456199646,0.18907948488617737,0.0013263836039242908,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,March,3
2020-04-01,2020-05-01,0.1525457501411438,0.15845192968845367,0.1557414296919189,0.0010233213004057855,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,April,4
2020-05-01,2020-06-01,0.1497460901737213,0.15946151316165924,0.1546953346592268,0.0019326204128966458,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,May,5
2020-06-01,2020-07-01,0.13213813304901123,0.14243212342262268,0.13844372317454937,0.0017851312403349758,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,June,6
2020-07-01,2020-08-01,0.12699972093105316,0.13688884675502777,0.13182853196114822,0.0015908999224246976,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,July,7
2020-08-01,2020-09-01,0.13741768896579742,0.14240707457065582,0.139603855586806,0.0012077322748595327,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,August,8
2020-09-01,2020-10-01,0.1218794733285904,0.1292143613100052,0.1254918064508324,0.0012587070347621387,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,September,9
2020-10-01,2020-11-01,0.12227797508239746,0.12881706655025482,0.1256636318085048,0.0010716756192544483,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,October,10
2020-11-01,2020-12-01,0.1283654272556305,0.1344909518957138,0.1317228022574681,0.0012243362430743511,65536,30118,NUTS_SL_01m_2024.shp,SI04,2020,November,11
2020-12-01,2021-01-01,0.14702443778514862,0.1528460830450058,0.1495240602401358,0.0012468006565243656,65536,58300,NUTS_SL_01m_2024.shp,SI04,2020,December,12
2021-01-01,2021-02-01,0.15718944370746613,0.1669718474149704,0.16119796799771163,0.0018126233760798098,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,January,1
2021-02-01,2021-03-01,0.13110579550266266,0.1507587879896164,0.14348730790447703,0.003768742852415684,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,February,2
2021-03-01,2021-04-01,0.14659860730171204,0.15709027647972107,0.15231351771234347,0.0018765684245937147,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,March,3
2021-04-01,2021-05-01,0.15312834084033966,0.16514438390731812,0.1594915719465868,0.0027970103666717424,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,April,4
2021-05-01,2021-06-01,0.15366362035274506,0.16559681296348572,0.16044413081570003,0.002921016162406991,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,May,5
2021-06-01,2021-07-01,0.14266271889209747,0.15225666761398315,0.14705238146093755,0.0016050396325506316,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,June,6
2021-07-01,2021-08-01,0.1331988275051117,0.14176613092422485,0.13772634693023067,0.0015915052876847699,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,July,7
2021-08-01,2021-09-01,0.14641770720481873,0.15430420637130737,0.1504671523173217,0.001530964992794569,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,August,8
2021-09-01,2021-10-01,0.13113728165626526,0.13626721501350403,0.1336785464914286,0.001054610933502196,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,September,9
2021-10-01,2021-11-01,0.12242961674928665,0.12967370450496674,0.12649086839024073,0.0016205939759972481,65536,50778,NUTS_SL_01m_2024.shp,SI04,2021,October,10
2021-11-01,2021-12-01,0.13823658227920532,0.14709775149822235,0.14274413212338655,0.001711400848866703,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,November,11
2021-12-01,2022-01-01,0.11974602192640305,0.12580464780330658,0.1232912414883686,0.0010868532050842521,65536,30118,NUTS_SL_01m_2024.shp,SI04,2021,December,12
2022-01-01,2022-02-01,0.16179399192333221,0.17160309851169586,0.16538363440228612,0.0015212040216301675,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,January,1
2022-02-01,2022-03-01,0.16476623713970184,0.18716591596603394,0.17491579220751596,0.003697589040177151,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,February,2
2022-03-01,2022-04-01,0.16268274188041687,0.16810242831707,0.16567389117822673,0.0012383527980667235,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,March,3
2022-04-01,2022-05-01,0.156511127948761,0.1665123701095581,0.15978678982765637,0.0018246779090083896,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,April,4
2022-05-01,2022-06-01,0.152058944106102,0.1601797640323639,0.1566509605034635,0.0017571838103697596,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,May,5
2022-06-01,2022-07-01,0.1342465877532959,0.1429329812526703,0.13899802701055924,0.0016039030465322495,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,June,6
2022-07-01,2022-08-01,0.13643832504749298,0.14245030283927917,0.139063315690186,0.00126983509911121,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,July,7
2022-08-01,2022-09-01,0.13337448239326477,0.1385561227798462,0.13560370072814648,0.0010716447661171422,65536,30801,NUTS_SL_01m_2024.shp,SI04,2022,August,8
2022-09-01,2022-10-01,0.13770289719104767,0.14367733895778656,0.14057023701840754,0.000884703935046235,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,September,9
2022-10-01,2022-11-01,0.11694011837244034,0.12243781983852386,0.11963752814946148,0.0009606136976818744,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,October,10
2022-11-01,2022-12-01,0.13980868458747864,0.14701905846595764,0.1436243586032263,0.0012911248766238985,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,November,11
2022-12-01,2023-01-01,0.1331349015235901,0.14049005508422852,0.1363478296232478,0.0014839917756871604,65536,30118,NUTS_SL_01m_2024.shp,SI04,2022,December,12
2023-01-01,2023-02-01,0.13758830726146698,0.1491524875164032,0.14409452560316902,0.0019399061667272793,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,January,1
2023-02-01,2023-03-01,0.14311282336711884,0.1566639393568039,0.14903071198756188,0.002251748410396873,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,February,2
2023-03-01,2023-04-01,0.14449797570705414,0.15228262543678284,0.14819388113273457,0.0011819156994863917,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,March,3
2023-04-01,2023-05-01,0.14513655006885529,0.153878852725029,0.14971351626480273,0.0016461610460989495,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,April,4
2023-05-01,2023-06-01,0.1470860242843628,0.15267592668533325,0.14984445457227227,0.0011364656163313487,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,May,5
2023-06-01,2023-07-01,0.13642239570617676,0.14545761048793793,0.14083910956781118,0.0013266685859288573,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,June,6
2023-07-01,2023-08-01,0.1416497677564621,0.1525183469057083,0.14800731141158815,0.0021063642692566104,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,July,7
2023-08-01,2023-09-01,0.13702982664108276,0.1465025395154953,0.14198936800062573,0.0015989155464409327,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,August,8
2023-09-01,2023-10-01,0.12222371250391006,0.12858638167381287,0.12503373358427863,0.0011056153862223327,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,September,9
2023-10-01,2023-11-01,0.14255042374134064,0.15646027028560638,0.14913088381307188,0.002254957274288449,65536,30118,NUTS_SL_01m_2024.shp,SI04,2023,October,10
