Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Štore,2025,13.015,10.965,66.528,0.526,4.874,177.161
Šenčur,2020,14.751,11.557,62.568,1.241,8.923,172.87
Šenčur,2021,16.089,11.36,66.575,0.987,10.995,219.109
Šenčur,2022,17.119,13.731,61.274,1.128,8.483,163.664
Šenčur,2023,16.962,13.274,70.741,1.236,9.031,196.807
Šenčur,2024,13.558,11.033,63.15,0.442,5.917,179.731
Šenčur,2025,11.766,9.789,67.729,0.413,4.95,168.587
Škocjan,2020,14.549,11.137,50.062,1.271,7.875,176.317
Škocjan,2021,17.543,12.608,51.623,1.418,9.668,225.801
Škocjan,2022,15.631,12.838,65.018,1.265,5.269,159.546
Škocjan,2023,16.522,13.244,59.077,1.269,6.967,193.743
Škocjan,2024,13.988,11.515,62.211,0.377,4.233,181.258
Škocjan,2025,11.577,9.724,67.18,0.369,3.493,170.278
Škofja Loka,2020,15.982,12.578,59.035,1.568,10.789,181.462
Škofja Loka,2021,17.47,12.47,60.326,1.313,12.944,228.731
Škofja Loka,2022,18.58,15.021,60.1,1.397,9.378,169.83
Škofja Loka,2023,17.789,14.047,68.546,1.7,9.945,204.711
Škofja Loka,2024,15.25,12.65,61.646,0.694,6.789,188.832
Škofja Loka,2025,13.341,11.26,66.508,0.598,5.976,176.088
Škofljica,2020,13.687,10.413,55.85,1.249,9.143,175.435
Škofljica,2021,15.726,11.061,58.659,1.001,10.768,219.41
Škofljica,2022,16.849,13.723,63.646,1.369,7.781,165.34
Škofljica,2023,15.427,12.033,66.255,1.333,8.305,195.09
Škofljica,2024,13.366,10.945,62.656,0.394,5.577,179.547
Škofljica,2025,11.071,9.221,68.459,0.361,4.709,166.149
Šmarje pri Jelšah,2020,16.13,12.51,52.441,1.565,8.649,183.43
Šmarje pri Jelšah,2021,18.355,13.65,52.943,1.745,10.328,232.601
Šmarje pri Jelšah,2022,17.21,14.218,65.538,1.567,6.465,165.083
Šmarje pri Jelšah,2023,15.849,12.955,61.51,1.399,7.416,199.542
Šmarje pri Jelšah,2024,14.646,12.136,62.537,0.483,5.022,188.412
Šmarje pri Jelšah,2025,12.364,10.448,67.651,0.449,4.142,175.942
Žalec,2020,17.047,12.52,44.585,1.712,11.271,177.899
Žalec,2021,18.483,13.123,52.193,1.687,12.109,231.66
Žalec,2022,17.81,14.471,62.993,1.548,7.05,160.786
Žalec,2023,16.938,13.454,59.907,1.388,8.547,198.558
Žalec,2024,14.355,11.841,61.387,0.468,5.358,184.828
Žalec,2025,12.491,10.523,65.786,0.465,4.637,173.9
Železniki,2020,12.258,9.373,64.576,0.853,6.422,155.23
Železniki,2021,13.421,9.292,63.552,0.68,8.294,198.034
Železniki,2022,13.729,10.357,63.364,0.792,5.758,141.003
Železniki,2023,13.452,10.397,72.025,0.935,5.775,173.687
Železniki,2024,10.662,8.519,66.735,0.3,3.346,160.971
Železniki,2025,9.833,8.188,70.994,0.304,2.957,155.869
Žetale,2020,16.179,12.998,56.083,1.428,7.588,188.528
Žetale,2021,19.084,14.66,55.157,1.793,9.76,239.996
Žetale,2022,15.866,13.207,65.745,1.546,6.039,167.572
Žetale,2023,15.825,13.135,62.091,1.564,7.382,202.236
Žetale,2024,15.804,13.197,63.339,0.563,5.433,194.511
Žetale,2025,12.865,10.883,68.563,0.47,4.364,180.467
Žiri,2020,12.973,10.065,64.673,1.078,6.878,163.31
Žiri,2021,14.243,9.835,62.908,0.88,8.485,201.917
Žiri,2022,14.66,11.429,65.415,1.095,5.764,152.841
Žiri,2023,14.019,11.003,73.205,1.231,5.792,180.28
Žiri,2024,11.802,9.518,67.152,0.374,3.284,167.21
Žiri,2025,10.218,8.447,72.088,0.352,2.806,159.626
Žirovnica,2020,12.663,9.702,61.333,0.761,7.712,161.991
Žirovnica,2021,13.721,9.649,60.507,0.59,9.661,201.726
Žirovnica,2022,13.906,10.567,62.663,0.716,6.104,148.473
Žirovnica,2023,14.098,10.873,68.036,0.823,7.734,181.156
Žirovnica,2024,11.188,9.121,63.283,0.282,4.799,167.721
Žirovnica,2025,10.393,8.687,68.056,0.299,4.313,159.768
Straža,2020,12.149,9.316,55.987,1.004,5.572,166.923
Straža,2021,14.812,10.388,55.136,1.113,6.699,209.477
Straža,2022,13.511,10.817,65.857,1.226,4.701,148.925
Straža,2023,14.399,11.304,59.571,1.249,5.486,179.737
Straža,2024,11.787,9.272,64.974,0.357,3.247,168.02
Straža,2025,10.104,8.223,70.787,0.385,2.79,160.667
Sveta Ana,2020,15.238,12.462,53.723,1.23,7.719,194.254
Sveta Ana,2021,17.123,13.197,58.388,1.363,8.591,241.788
Sveta Ana,2022,16.021,13.361,65.07,1.071,6.519,167.194
Sveta Ana,2023,15.048,12.303,60.606,1.255,8.067,212.536
Sveta Ana,2024,14.435,12.08,59.634,0.439,5.763,196.936
Sveta Ana,2025,11.955,10.134,65.106,0.406,4.366,181.474
Sveta Trojica v Slov. goricah,2020,16.087,13.132,52.642,1.302,8.253,193.843
Sveta Trojica v Slov. goricah,2021,18.176,14.003,56.277,1.551,9.218,243.415
Sveta Trojica v Slov. goricah,2022,16.866,14.222,64.779,1.23,6.998,169.747
Sveta Trojica v Slov. goricah,2023,15.85,13.042,59.25,1.434,8.956,213.633
Sveta Trojica v Slov. goricah,2024,15.267,12.774,60.091,0.512,6.387,199.089
Sveta Trojica v Slov. goricah,2025,12.463,10.534,65.86,0.462,4.964,181.772
Sveti Andraž v Slov. goricah,2020,15.941,12.795,54.381,1.265,7.849,191.394
Sveti Andraž v Slov. goricah,2021,17.981,13.796,57.898,1.505,8.685,240.732
Sveti Andraž v Slov. goricah,2022,16.101,13.56,65.44,1.214,6.409,168.759
Sveti Andraž v Slov. goricah,2023,15.407,12.749,59.52,1.393,8.186,208.508
Sveti Andraž v Slov. goricah,2024,14.798,12.348,60.791,0.474,5.625,195.223
Sveti Andraž v Slov. goricah,2025,12.085,10.195,66.598,0.437,4.379,179.275
Sveti Jurij ob Ščavnici,2020,16.324,12.856,53.654,1.217,7.756,190.448
Sveti Jurij ob Ščavnici,2021,18.218,13.886,58.197,1.452,8.393,239.996
Sveti Jurij ob Ščavnici,2022,15.811,13.28,65.134,1.218,5.946,167.795
Sveti Jurij ob Ščavnici,2023,15.338,12.694,58.624,1.352,7.656,205.637
Sveti Jurij ob Ščavnici,2024,14.63,12.191,61.186,0.454,5.162,193.868
Sveti Jurij ob Ščavnici,2025,11.872,10.012,67.028,0.426,4.047,178.439
Šempeter - Vrtojba,2020,16.035,11.548,60.921,1.182,11.297,177.417
Šempeter - Vrtojba,2021,15.656,10.601,60.712,1.208,12.711,213.17
Šempeter - Vrtojba,2022,15.238,11.928,62.968,1.262,7.397,163.886
Šempeter - Vrtojba,2023,15.59,12.389,67.714,1.596,9.097,198.073
Šempeter - Vrtojba,2024,13.092,10.545,70.344,0.549,5.044,179.432
Šempeter - Vrtojba,2025,10.587,8.562,74.384,0.464,4.331,168.106
Šentilj,2020,14.94,12.391,50.626,1.24,8.568,191.747
Šentilj,2021,16.768,12.673,57.309,1.338,9.433,235.165
Šentilj,2022,16.503,13.673,64.213,1.078,7.84,165.52
Šentilj,2023,14.328,11.453,61.02,1.268,9.308,205.736
Šentilj,2024,14.034,11.563,60.398,0.484,6.864,192.208
Šentilj,2025,12.209,10.208,65.684,0.436,5.627,180.123
Šentjernej,2020,14.011,10.92,52.388,1.173,6.73,173.61
Šentjernej,2021,17.206,12.494,51.991,1.413,8.784,221.901
Šentjernej,2022,15.063,12.351,64.511,1.312,5.118,155.007
Šentjernej,2023,16.01,12.976,58.62,1.293,6.491,189.197
Šentjernej,2024,13.56,11.036,62.909,0.39,3.956,177.801
Šentjernej,2025,11.301,9.444,68.2,0.398,3.349,167.763
Šentjur,2020,17.95,13.299,46.998,1.657,11.106,183.816
Šentjur,2021,19.546,13.957,50.785,1.859,12.559,234.065
Šentjur,2022,17.815,14.718,64.219,1.461,6.727,165.038
Šentjur,2023,17.118,13.818,59.228,1.445,8.927,202.627
Šentjur,2024,15.342,12.708,61.612,0.569,5.76,190.157
Šentjur,2025,13.015,10.965,66.528,0.526,4.874,177.161
Šentrupert,2020,14.61,11.198,48.721,1.308,9.36,175.854
Šentrupert,2021,17.142,12.204,53.379,1.32,10.218,224.48
Šentrupert,2022,15.753,12.8,64.73,1.266,6.119,160.294
Šentrupert,2023,16.69,13.157,60.14,1.293,7.957,195.44
Šentrupert,2024,14.112,11.622,62.708,0.401,4.924,181.824
Šentrupert,2025,11.56,9.68,68.028,0.388,4.129,169.043
Črenšovci,2020,17.651,13.705,50.607,1.216,7.662,192.933
Črenšovci,2021,19.632,14.823,56.827,1.465,8.362,244.772
Črenšovci,2022,15.862,13.224,63.325,1.349,5.349,168.278
Črenšovci,2023,16.283,13.539,55.427,1.393,7.333,208.426
Črenšovci,2024,15.447,12.986,60.876,0.466,4.876,198.322
Črenšovci,2025,12.284,10.446,66.816,0.443,3.778,180.966
Črna na Koroškem,2020,11.666,8.672,59.024,0.904,4.849,150.937
Črna na Koroškem,2021,13.118,9.144,63.586,0.899,6.376,197.009
Črna na Koroškem,2022,13.306,9.804,66.363,0.888,4.353,137.495
Črna na Koroškem,2023,12.55,9.362,68.991,1.02,4.466,163.829
Črna na Koroškem,2024,9.569,7.357,67.31,0.265,2.278,152.433
Črna na Koroškem,2025,8.752,7.029,71.933,0.275,1.872,149.341
Črnomelj,2020,11.663,9.196,58.237,0.992,4.52,165.766
Črnomelj,2021,14.301,10.222,54.436,1.128,5.414,205.858
Črnomelj,2022,12.608,10.023,66.772,1.363,3.647,147.003
Črnomelj,2023,13.337,10.541,60.103,1.343,4.501,176.393
Črnomelj,2024,11.461,8.917,65.871,0.377,2.79,165.378
Črnomelj,2025,9.985,8.093,71.305,0.41,2.428,159.968
Šalovci,2020,14.819,11.487,53.015,1.13,6.833,185.332
Šalovci,2021,16.307,12.112,57.237,1.272,7.577,227.853
Šalovci,2022,13.718,11.026,62.537,1.162,5.138,157.566
Šalovci,2023,14.113,11.218,58.645,1.275,6.331,198.32
Šalovci,2024,12.628,10.383,62.653,0.418,3.83,183.741
Šalovci,2025,10.218,8.548,67.701,0.417,3.007,171.397
Zreče,2020,14.766,11.097,53.243,1.358,7.769,169.596
Zreče,2021,16.287,11.658,57.864,1.547,8.961,215.245
Zreče,2022,15.644,12.681,67.682,1.232,5.515,151.047
Zreče,2023,14.25,11.251,64.936,1.293,6.456,182.678
Zreče,2024,12.043,9.617,67.452,0.4,3.83,169.454
Zreče,2025,10.77,8.84,71.425,0.391,3.349,163.553
Vransko,2020,14.183,10.696,51.873,1.522,8.595,164.643
Vransko,2021,15.61,11.053,61.235,1.336,8.562,214.745
Vransko,2022,16.01,12.576,65.404,1.446,5.996,149.824
Vransko,2023,15.058,11.661,67.68,1.297,6.065,181.097
Vransko,2024,11.779,9.379,66.513,0.355,3.343,166.385
Vransko,2025,10.517,8.672,71.207,0.348,2.855,160.943
Vrhnika,2020,13.66,10.649,61.564,1.15,8.102,169.593
Vrhnika,2021,15.217,10.572,60.658,0.942,9.629,210.4
Vrhnika,2022,15.391,12.234,64.526,1.208,6.311,156.836
Vrhnika,2023,14.801,11.599,70.746,1.35,6.697,188.256
Vrhnika,2024,13.354,10.977,64.607,0.435,4.185,175.669
Vrhnika,2025,11.263,9.436,70.071,0.405,3.507,164.94
Vuzenica,2020,13.801,10.675,50.278,1.014,6.757,166.922
Vuzenica,2021,15.649,11.267,57.049,1.111,8.284,212.919
Vuzenica,2022,15.328,12.032,64.629,0.964,5.717,150.052
Vuzenica,2023,14.431,11.183,63.73,1.145,6.531,183.631
Vuzenica,2024,11.744,9.562,63.398,0.324,4.0,170.994
Vuzenica,2025,10.235,8.52,69.003,0.326,2.995,161.88
Zagorje ob Savi,2020,15.19,11.516,49.773,1.677,9.428,171.788
Zagorje ob Savi,2021,16.718,11.885,59.667,1.459,9.026,220.892
Zagorje ob Savi,2022,16.617,13.304,65.808,1.432,5.878,156.154
Zagorje ob Savi,2023,16.277,12.755,66.769,1.403,6.458,188.76
Zagorje ob Savi,2024,13.294,10.775,66.597,0.438,3.598,174.149
Zagorje ob Savi,2025,11.306,9.352,71.843,0.415,2.94,165.221
Zavrč,2020,16.666,13.36,55.197,1.296,6.679,189.633
Zavrč,2021,19.176,14.811,56.769,1.614,8.493,240.718
Zavrč,2022,15.719,13.07,65.891,1.364,5.218,166.643
Zavrč,2023,15.954,13.276,60.015,1.45,6.701,202.712
Zavrč,2024,15.535,12.935,63.504,0.47,4.588,194.438
Zavrč,2025,12.78,10.803,68.525,0.44,3.729,180.796
Videm,2020,16.104,12.915,54.971,1.347,7.119,189.102
Videm,2021,18.643,14.316,56.295,1.674,8.909,238.456
Videm,2022,15.808,13.208,65.551,1.407,5.74,166.671
Videm,2023,15.58,12.947,61.052,1.533,7.209,201.834
Videm,2024,14.928,12.335,63.557,0.506,4.922,191.727
Videm,2025,12.315,10.347,68.691,0.451,3.999,178.069
Vipava,2020,13.123,9.962,65.741,0.953,7.049,166.459
Vipava,2021,14.352,9.686,62.748,0.968,9.01,202.976
Vipava,2022,14.033,10.994,66.272,1.213,4.981,150.996
Vipava,2023,14.08,11.143,72.586,1.491,6.043,185.261
Vipava,2024,12.143,9.746,68.555,0.448,3.254,169.675
Vipava,2025,10.009,8.161,73.22,0.388,2.686,160.08
Vitanje,2020,14.852,11.018,51.325,1.395,7.861,169.225
Vitanje,2021,16.421,11.661,56.902,1.53,9.098,216.664
Vitanje,2022,15.888,12.776,66.578,1.253,5.644,151.564
Vitanje,2023,14.637,11.529,63.869,1.304,6.538,184.225
Vitanje,2024,12.025,9.623,66.342,0.38,3.642,169.413
Vitanje,2025,10.724,8.836,70.483,0.379,3.132,163.439
Vodice,2020,17.599,13.826,55.106,1.546,12.162,192.442
Vodice,2021,19.076,13.825,59.353,1.222,14.469,242.952
Vodice,2022,20.702,17.26,57.19,1.451,10.342,176.544
Vodice,2023,20.009,15.917,66.522,1.541,11.578,222.647
Vodice,2024,17.428,14.691,58.663,0.644,8.307,204.449
Vodice,2025,14.737,12.611,63.693,0.552,6.942,185.273
Vojnik,2020,17.95,13.299,46.998,1.657,11.106,183.816
Vojnik,2021,19.546,13.957,50.785,1.859,12.559,234.065
Vojnik,2022,17.815,14.718,64.219,1.461,6.727,165.038
Vojnik,2023,17.118,13.818,59.228,1.445,8.927,202.627
Vojnik,2024,15.342,12.708,61.612,0.569,5.76,190.157
Vojnik,2025,13.015,10.965,66.528,0.526,4.874,177.161
Trbovlje,2020,15.796,11.932,48.361,1.754,10.228,174.187
Trbovlje,2021,17.378,12.355,58.049,1.586,9.628,225.116
Trbovlje,2022,17.175,13.844,65.698,1.499,6.219,159.47
Trbovlje,2023,16.606,13.032,65.183,1.422,6.875,191.183
Trbovlje,2024,13.868,11.313,66.156,0.477,3.999,177.842
Trbovlje,2025,11.683,9.706,71.271,0.456,3.305,167.592
Trebnje,2020,14.61,11.198,48.721,1.308,9.36,175.854
Trebnje,2021,17.142,12.204,53.379,1.32,10.218,224.48
Trebnje,2022,15.753,12.8,64.73,1.266,6.119,160.294
Trebnje,2023,16.69,13.157,60.14,1.293,7.957,195.44
Trebnje,2024,14.112,11.622,62.708,0.401,4.924,181.824
Trebnje,2025,11.56,9.68,68.028,0.388,4.129,169.043
Trnovska vas,2020,16.087,13.132,52.642,1.302,8.253,193.843
Trnovska vas,2021,18.176,14.003,56.277,1.551,9.218,243.415
Trnovska vas,2022,16.866,14.222,64.779,1.23,6.998,169.747
Trnovska vas,2023,15.85,13.042,59.25,1.434,8.956,213.633
Trnovska vas,2024,15.267,12.774,60.091,0.512,6.387,199.089
Trnovska vas,2025,12.463,10.534,65.86,0.462,4.964,181.772
Trzin,2020,19.011,15.156,52.513,1.66,12.242,200.08
Trzin,2021,20.793,15.279,58.916,1.342,14.604,254.778
Trzin,2022,21.356,18.107,59.15,1.543,9.706,185.892
Trzin,2023,22.062,17.803,65.808,1.631,11.382,235.372
Trzin,2024,19.827,16.879,58.014,0.689,8.394,215.952
Trzin,2025,15.55,13.228,63.704,0.579,6.398,187.755
Tržič,2020,12.392,9.542,66.558,0.879,5.87,156.143
Tržič,2021,13.776,9.585,67.157,0.69,8.079,198.853
Tržič,2022,14.288,10.92,64.791,0.81,5.799,146.499
Tržič,2023,14.075,10.796,72.067,0.922,5.872,171.661
Tržič,2024,10.923,8.717,66.932,0.289,3.604,161.036
Tržič,2025,10.016,8.194,72.116,0.304,3.114,154.443
Lenart,2020,16.087,13.132,52.642,1.302,8.253,193.843
Lenart,2021,18.176,14.003,56.277,1.551,9.218,243.415
Lenart,2022,16.866,14.222,64.779,1.23,6.998,169.747
Lenart,2023,15.85,13.042,59.25,1.434,8.956,213.633
Lenart,2024,15.267,12.774,60.091,0.512,6.387,199.089
Lenart,2025,12.463,10.534,65.86,0.462,4.964,181.772
Lendava_Lendva,2020,17.478,13.682,49.975,1.32,7.134,191.845
Lendava_Lendva,2021,19.652,14.819,55.383,1.534,8.143,243.727
Lendava_Lendva,2022,15.426,12.703,61.956,2.06,5.055,166.309
Lendava_Lendva,2023,16.773,13.887,54.406,1.537,7.085,205.74
Lendava_Lendva,2024,15.603,13.05,61.203,0.514,4.626,195.922
Lendava_Lendva,2025,12.496,10.599,66.736,0.503,3.713,179.584
Litija,2020,14.651,11.199,51.652,1.49,8.753,174.768
Litija,2021,16.795,11.874,58.972,1.302,9.33,222.329
Litija,2022,16.338,13.185,65.142,1.311,6.157,161.244
Litija,2023,16.599,13.077,65.695,1.39,7.029,194.436
Litija,2024,13.903,11.423,64.808,0.42,4.054,178.87
Litija,2025,11.288,9.411,70.555,0.386,3.211,166.538
Ljubljana,2020,20.283,16.081,47.317,1.934,15.852,208.656
Ljubljana,2021,22.26,16.139,52.864,1.605,17.591,262.334
Ljubljana,2022,22.68,19.364,57.977,1.874,11.547,196.585
Ljubljana,2023,23.117,18.662,61.924,2.111,15.108,246.115
Ljubljana,2024,21.359,18.188,56.412,0.857,10.757,226.214
Ljubljana,2025,16.795,14.278,62.281,0.736,8.557,195.484
Ljubno,2020,12.118,9.074,59.324,1.071,5.297,153.182
Ljubno,2021,13.429,9.332,65.237,1.011,6.363,198.028
Ljubno,2022,13.406,10.067,67.378,1.018,4.129,137.322
Ljubno,2023,12.955,9.781,70.468,1.092,4.239,166.297
Ljubno,2024,9.732,7.473,68.682,0.28,2.101,153.613
Ljubno,2025,9.004,7.223,72.782,0.282,1.754,150.732
Maribor,2020,17.02,14.118,49.306,1.413,10.423,196.345
Maribor,2021,18.729,13.992,55.727,1.678,10.814,238.056
Maribor,2022,18.085,15.16,63.937,1.313,8.866,170.209
Maribor,2023,16.494,13.272,59.267,1.546,11.851,213.857
Maribor,2024,15.901,12.899,61.28,0.647,8.724,196.735
Maribor,2025,13.639,11.236,66.744,0.633,7.579,182.664
Markovci,2020,16.104,12.915,54.971,1.347,7.119,189.102
Markovci,2021,18.643,14.316,56.295,1.674,8.909,238.456
Markovci,2022,15.808,13.208,65.551,1.407,5.74,166.671
Markovci,2023,15.58,12.947,61.052,1.533,7.209,201.834
Markovci,2024,14.928,12.335,63.557,0.506,4.922,191.727
Markovci,2025,12.315,10.347,68.691,0.451,3.999,178.069
Medvode,2020,17.599,13.826,55.106,1.546,12.162,192.442
Medvode,2021,19.076,13.825,59.353,1.222,14.469,242.952
Medvode,2022,20.702,17.26,57.19,1.451,10.342,176.544
Medvode,2023,20.009,15.917,66.522,1.541,11.578,222.647
Medvode,2024,17.428,14.691,58.663,0.644,8.307,204.449
Medvode,2025,14.737,12.611,63.693,0.552,6.942,185.273
Mengeš,2020,19.011,15.156,52.513,1.66,12.242,200.08
Mengeš,2021,20.793,15.279,58.916,1.342,14.604,254.778
Mengeš,2022,21.356,18.107,59.15,1.543,9.706,185.892
Mengeš,2023,22.062,17.803,65.808,1.631,11.382,235.372
Mengeš,2024,19.827,16.879,58.014,0.689,8.394,215.952
Mengeš,2025,15.55,13.228,63.704,0.579,6.398,187.755
Metlika,2020,13.262,10.625,55.222,1.084,5.655,174.392
Metlika,2021,16.425,12.025,52.413,1.295,7.456,220.167
Metlika,2022,13.841,11.124,65.378,1.375,4.298,152.834
Metlika,2023,14.983,12.085,58.672,1.3,5.412,186.063
Metlika,2024,13.396,10.816,64.024,0.377,3.731,177.225
Metlika,2025,11.239,9.299,70.27,0.409,3.149,168.529
Loški Potok,2020,17.382,13.578,51.625,1.226,8.185,191.893
Loški Potok,2021,19.313,14.639,57.472,1.461,8.599,243.032
Loški Potok,2022,16.01,13.424,64.02,1.279,5.788,169.225
Loški Potok,2023,16.057,13.336,56.614,1.381,7.878,207.947
Loški Potok,2024,15.297,12.81,60.863,0.479,5.281,196.891
Loški Potok,2025,12.319,10.411,66.847,0.459,4.16,180.393
Luče,2020,13.66,10.649,61.564,1.15,8.102,169.593
Luče,2021,15.217,10.572,60.658,0.942,9.629,210.4
Luče,2022,15.391,12.234,64.526,1.208,6.311,156.836
Luče,2023,14.801,11.599,70.746,1.35,6.697,188.256
Luče,2024,13.354,10.977,64.607,0.435,4.185,175.669
Luče,2025,11.263,9.436,70.071,0.405,3.507,164.94
Lukovica,2020,15.47,12.212,58.908,1.419,9.774,181.126
Lukovica,2021,16.915,12.041,59.467,1.05,11.412,225.61
Lukovica,2022,18.593,15.112,61.614,1.343,8.625,172.018
Lukovica,2023,16.82,13.308,69.699,1.437,8.197,200.408
Lukovica,2024,14.838,12.342,62.794,0.488,5.262,186.974
Lukovica,2025,12.714,10.741,67.728,0.44,4.524,174.06
Majšperk,2020,12.257,9.459,56.113,1.108,5.415,162.014
Majšperk,2021,14.215,10.105,62.44,1.162,6.699,203.051
Majšperk,2022,13.673,10.566,69.275,0.971,4.761,142.695
Majšperk,2023,12.402,9.478,67.548,1.149,5.104,173.616
Majšperk,2024,10.163,7.903,68.669,0.325,2.759,159.469
Majšperk,2025,9.159,7.399,73.616,0.325,2.293,155.638
Makole,2020,9.163,6.859,69.009,0.791,2.885,148.182
Makole,2021,11.061,7.398,69.272,0.855,3.594,181.557
Makole,2022,10.302,7.818,73.336,1.187,2.293,132.091
Makole,2023,10.706,8.037,71.044,1.267,2.68,159.147
Makole,2024,8.849,6.419,72.255,0.322,1.213,147.237
Makole,2025,7.743,5.979,76.998,0.309,1.023,143.868
Ljutomer,2020,17.382,13.578,51.625,1.226,8.185,191.893
Ljutomer,2021,19.313,14.639,57.472,1.461,8.599,243.032
Ljutomer,2022,16.01,13.424,64.02,1.279,5.788,169.225
Ljutomer,2023,16.057,13.336,56.614,1.381,7.878,207.947
Ljutomer,2024,15.297,12.81,60.863,0.479,5.281,196.891
Ljutomer,2025,12.319,10.411,66.847,0.459,4.16,180.393
Log - Dragomer,2020,15.47,12.212,58.908,1.419,9.774,181.126
Log - Dragomer,2021,16.915,12.041,59.467,1.05,11.412,225.61
Log - Dragomer,2022,18.593,15.112,61.614,1.343,8.625,172.018
Log - Dragomer,2023,16.82,13.308,69.699,1.437,8.197,200.408
Log - Dragomer,2024,14.838,12.342,62.794,0.488,5.262,186.974
Log - Dragomer,2025,12.714,10.741,67.728,0.44,4.524,174.06
Logatec,2020,13.66,10.649,61.564,1.15,8.102,169.593
Logatec,2021,15.217,10.572,60.658,0.942,9.629,210.4
Logatec,2022,15.391,12.234,64.526,1.208,6.311,156.836
Logatec,2023,14.801,11.599,70.746,1.35,6.697,188.256
Logatec,2024,13.354,10.977,64.607,0.435,4.185,175.669
Logatec,2025,11.263,9.436,70.071,0.405,3.507,164.94
Loška dolina,2020,9.163,6.859,69.009,0.791,2.885,148.182
Loška dolina,2021,11.061,7.398,69.272,0.855,3.594,181.557
Loška dolina,2022,10.302,7.818,73.336,1.187,2.293,132.091
Loška dolina,2023,10.706,8.037,71.044,1.267,2.68,159.147
Loška dolina,2024,8.849,6.419,72.255,0.322,1.213,147.237
Loška dolina,2025,7.743,5.979,76.998,0.309,1.023,143.868
Lovrenc na Pohorju,2020,12.257,9.459,56.113,1.108,5.415,162.014
Lovrenc na Pohorju,2021,14.215,10.105,62.44,1.162,6.699,203.051
Lovrenc na Pohorju,2022,13.673,10.566,69.275,0.971,4.761,142.695
Lovrenc na Pohorju,2023,12.402,9.478,67.548,1.149,5.104,173.616
Lovrenc na Pohorju,2024,10.163,7.903,68.669,0.325,2.759,159.469
Lovrenc na Pohorju,2025,9.159,7.399,73.616,0.325,2.293,155.638
Turnišče,2020,16.66,12.736,50.238,1.221,7.259,189.433
Turnišče,2021,18.369,13.681,56.325,1.399,7.822,238.203
Turnišče,2022,14.858,12.239,62.419,1.409,4.98,163.48
Turnišče,2023,15.485,12.723,54.874,1.394,6.84,204.086
Turnišče,2024,14.221,11.847,60.86,0.448,4.345,191.442
Turnišče,2025,11.246,9.491,66.754,0.437,3.38,176.294
Velenje,2020,15.657,11.705,48.677,1.411,9.073,172.464
Velenje,2021,17.274,12.291,55.309,1.49,10.233,222.896
Velenje,2022,16.927,13.619,64.507,1.47,6.571,157.451
Velenje,2023,15.71,12.371,62.168,1.35,7.686,190.958
Velenje,2024,13.054,10.609,63.713,0.415,4.664,176.498
Velenje,2025,11.455,9.521,68.26,0.425,3.913,167.479
Velika Polana,2020,17.466,13.564,50.545,1.257,7.133,192.633
Velika Polana,2021,19.554,14.737,56.304,1.483,8.112,244.386
Velika Polana,2022,15.601,12.926,62.862,1.64,5.064,166.999
Velika Polana,2023,16.299,13.529,55.115,1.443,6.864,206.806
Velika Polana,2024,15.369,12.901,61.372,0.471,4.508,197.136
Velika Polana,2025,12.236,10.409,67.014,0.452,3.53,180.277
Velike Lašče,2020,11.355,8.6,60.597,0.978,5.392,161.638
Velike Lašče,2021,13.471,9.338,62.363,0.916,6.511,201.657
Velike Lašče,2022,13.131,10.354,67.968,1.116,4.734,146.083
Velike Lašče,2023,12.98,9.961,67.349,1.201,4.819,175.954
Velike Lašče,2024,10.98,8.592,67.049,0.33,2.749,163.102
Velike Lašče,2025,9.412,7.641,72.205,0.321,2.365,156.276
Veržej,2020,17.382,13.578,51.625,1.226,8.185,191.893
Veržej,2021,19.313,14.639,57.472,1.461,8.599,243.032
Veržej,2022,16.01,13.424,64.02,1.279,5.788,169.225
Veržej,2023,16.057,13.336,56.614,1.381,7.878,207.947
Veržej,2024,15.297,12.81,60.863,0.479,5.281,196.891
Veržej,2025,12.319,10.411,66.847,0.459,4.16,180.393
Cirkulane,2020,16.104,12.915,54.971,1.347,7.119,189.102
Cirkulane,2021,18.643,14.316,56.295,1.674,8.909,238.456
Cirkulane,2022,15.808,13.208,65.551,1.407,5.74,166.671
Cirkulane,2023,15.58,12.947,61.052,1.533,7.209,201.834
Cirkulane,2024,14.928,12.335,63.557,0.506,4.922,191.727
Cirkulane,2025,12.315,10.347,68.691,0.451,3.999,178.069
Destrnik,2020,16.45,13.326,52.841,1.431,8.788,193.666
Destrnik,2021,18.824,14.415,55.19,1.804,10.081,244.422
Destrnik,2022,16.957,14.293,64.673,1.487,7.201,172.16
Destrnik,2023,16.052,13.212,59.678,1.718,9.406,212.627
Destrnik,2024,15.512,12.892,61.334,0.661,6.703,199.936
Destrnik,2025,12.787,10.75,66.777,0.572,5.473,183.163
Divača,2020,11.114,8.278,67.491,0.879,6.197,164.982
Divača,2021,12.832,8.243,66.433,1.05,8.014,199.9
Divača,2022,12.593,9.701,67.728,1.476,4.582,148.756
Divača,2023,12.752,9.89,72.833,1.894,5.91,182.574
Divača,2024,10.929,8.465,70.917,0.513,3.08,164.912
Divača,2025,9.011,7.167,75.993,0.422,2.515,157.282
Dobje,2020,15.768,11.741,51.259,1.567,8.389,176.413
