Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Idrija,2020,12.71,9.768,65.788,0.976,6.393,160.152
Idrija,2021,13.764,9.462,63.367,0.841,7.982,197.311
Idrija,2022,13.941,10.798,66.246,1.02,5.02,149.058
Idrija,2023,13.609,10.671,73.973,1.184,5.309,176.985
Idrija,2024,11.321,9.101,68.448,0.354,2.917,164.141
Idrija,2025,9.813,8.111,73.081,0.33,2.486,157.227
Ig,2020,13.687,10.413,55.85,1.249,9.143,175.435
Ig,2021,15.726,11.061,58.659,1.001,10.768,219.41
Ig,2022,16.849,13.723,63.646,1.369,7.781,165.34
Ig,2023,15.427,12.033,66.255,1.333,8.305,195.09
Ig,2024,13.366,10.945,62.656,0.394,5.577,179.547
Ig,2025,11.071,9.221,68.459,0.361,4.709,166.149
Juršinci,2020,16.247,13.034,54.073,1.313,7.618,190.937
Juršinci,2021,18.5,14.176,56.503,1.622,8.999,240.569
Juršinci,2022,16.192,13.617,65.528,1.34,6.197,168.583
Juršinci,2023,15.695,12.997,59.756,1.522,7.938,206.835
Juršinci,2024,14.982,12.439,61.825,0.527,5.455,195.132
Juršinci,2025,12.305,10.349,67.363,0.463,4.359,179.606
Kamnik,2020,13.325,10.192,62.207,1.216,6.521,160.543
Kamnik,2021,14.755,10.229,68.183,1.022,8.147,207.419
Kamnik,2022,15.351,12.02,65.91,1.053,5.28,148.321
Kamnik,2023,15.016,11.528,72.374,1.152,5.801,177.191
Kamnik,2024,11.229,8.864,67.818,0.352,3.168,161.264
Kamnik,2025,9.768,7.922,71.999,0.342,2.562,154.708
Kanal,2020,13.569,9.782,61.107,0.998,10.339,166.215
Kanal,2021,13.803,9.263,60.973,0.943,11.496,200.578
Kanal,2022,13.637,10.421,63.774,0.984,6.491,149.406
Kanal,2023,13.658,10.716,68.369,1.258,8.427,184.317
Kanal,2024,11.005,8.778,70.845,0.393,4.2,167.133
Kanal,2025,9.277,7.539,74.788,0.341,3.863,160.352
Kidričevo,2020,16.351,13.271,51.382,1.416,8.869,193.656
Kidričevo,2021,18.59,14.153,54.414,1.795,10.204,243.166
Kidričevo,2022,17.778,14.999,64.115,1.556,7.844,171.881
Kidričevo,2023,15.946,13.034,59.551,1.663,9.492,211.967
Kidričevo,2024,15.337,12.729,61.024,0.656,6.992,200.233
Kidričevo,2025,12.885,10.86,66.49,0.577,5.809,184.424
Kobarid,2020,10.893,8.03,59.379,0.685,5.854,149.218
Kobarid,2021,11.086,7.502,61.256,0.582,7.09,182.478
Kobarid,2022,11.37,8.221,63.017,0.659,4.019,134.437
Kobarid,2023,11.18,8.632,67.41,0.777,4.519,164.44
Kobarid,2024,8.4,6.48,69.852,0.218,2.327,150.916
Kobarid,2025,7.735,6.2,73.385,0.209,2.018,147.437
Ilirska Bistrica,2020,9.117,6.784,70.615,0.761,2.937,149.249
Ilirska Bistrica,2021,10.723,7.025,71.082,0.851,3.892,181.41
Ilirska Bistrica,2022,10.208,7.696,73.633,1.355,2.313,134.138
Ilirska Bistrica,2023,10.693,8.045,73.258,1.439,2.995,160.823
Ilirska Bistrica,2024,8.799,6.325,73.791,0.347,1.286,146.253
Ilirska Bistrica,2025,7.586,5.77,77.935,0.311,1.08,142.934
Ivančna Gorica,2020,14.206,10.886,49.171,1.242,10.491,174.831
Ivančna Gorica,2021,16.467,11.715,54.654,1.146,11.301,222.568
Ivančna Gorica,2022,15.659,12.667,63.661,1.2,7.216,160.644
Ivančna Gorica,2023,16.32,12.821,60.992,1.262,9.477,197.365
Ivančna Gorica,2024,14.081,11.681,61.318,0.377,6.076,182.476
Ivančna Gorica,2025,11.482,9.634,66.798,0.35,5.22,168.244
IzolaIsola,2020,15.298,10.156,63.128,1.436,14.019,179.807
IzolaIsola,2021,14.757,9.057,63.608,2.257,14.781,218.327
IzolaIsola,2022,14.926,11.514,60.755,3.192,12.013,171.79
IzolaIsola,2023,15.522,11.715,68.488,3.613,14.47,203.979
IzolaIsola,2024,13.486,10.431,68.632,1.512,9.796,185.443
IzolaIsola,2025,10.454,8.022,75.497,0.846,7.466,170.389
Jesenice,2020,11.704,8.723,59.034,0.677,7.704,164.621
Jesenice,2021,12.907,8.873,59.04,0.528,9.008,196.971
Jesenice,2022,12.905,9.526,61.715,0.672,5.955,153.006
Jesenice,2023,12.596,9.542,67.105,0.76,7.252,180.554
Jesenice,2024,9.984,7.967,64.24,0.274,4.174,164.154
Jesenice,2025,9.339,7.683,69.102,0.296,3.529,158.466
Jezersko,2020,11.461,8.654,68.111,0.863,5.096,149.76
Jezersko,2021,12.917,8.843,69.907,0.699,7.075,192.371
Jezersko,2022,13.296,9.976,65.854,0.807,5.128,140.117
Jezersko,2023,12.97,9.802,73.153,0.895,5.059,163.017
Jezersko,2024,9.711,7.531,68.715,0.258,2.855,152.023
Jezersko,2025,8.984,7.234,73.287,0.27,2.425,148.153
Kobilje,2020,16.66,12.736,50.238,1.221,7.259,189.433
Kobilje,2021,18.369,13.681,56.325,1.399,7.822,238.203
Kobilje,2022,14.858,12.239,62.419,1.409,4.98,163.48
Kobilje,2023,15.485,12.723,54.874,1.394,6.84,204.086
Kobilje,2024,14.221,11.847,60.86,0.448,4.345,191.442
Kobilje,2025,11.246,9.491,66.754,0.437,3.38,176.294
Komen,2020,14.187,10.222,64.206,1.071,8.518,172.22
Komen,2021,14.603,9.661,62.54,1.163,10.281,208.367
Komen,2022,14.577,11.386,63.915,1.311,5.921,155.899
Komen,2023,14.334,11.263,70.226,1.687,6.921,191.038
Komen,2024,12.064,9.621,69.695,0.494,3.578,172.952
Komen,2025,9.796,7.92,74.198,0.402,2.968,163.191
Komenda,2020,14.181,11.063,63.914,1.225,7.055,167.47
Komenda,2021,15.479,10.913,69.069,0.987,9.15,214.347
Komenda,2022,16.591,13.279,63.897,1.052,6.33,156.976
Komenda,2023,16.153,12.58,72.615,1.171,6.701,186.513
Komenda,2024,12.492,10.089,66.015,0.378,3.967,170.057
Komenda,2025,10.818,8.93,70.241,0.356,3.203,160.87
Koper Capodistria,2020,14.729,10.147,62.569,1.406,14.613,180.78
Koper Capodistria,2021,14.891,9.318,62.836,1.963,14.603,218.869
Koper Capodistria,2022,14.605,11.361,61.676,2.988,10.904,171.281
Koper Capodistria,2023,15.55,11.977,66.806,3.652,15.225,204.222
Koper Capodistria,2024,13.332,10.3,67.46,1.362,9.301,184.674
Koper Capodistria,2025,10.511,8.062,73.445,0.846,7.462,170.499
Kostanjevica na Krki,2020,13.798,10.816,55.42,1.214,6.095,173.808
Kostanjevica na Krki,2021,16.848,12.32,54.039,1.496,8.06,220.273
Kostanjevica na Krki,2022,14.731,12.031,65.927,1.378,4.846,155.169
Kostanjevica na Krki,2023,15.169,12.333,61.147,1.338,5.616,185.877
Kostanjevica na Krki,2024,13.058,10.501,65.611,0.411,3.276,174.763
Kostanjevica na Krki,2025,11.081,9.211,70.691,0.426,2.806,166.858
Križevci,2020,17.382,13.578,51.625,1.226,8.185,191.893
Križevci,2021,19.313,14.639,57.472,1.461,8.599,243.032
Križevci,2022,16.01,13.424,64.02,1.279,5.788,169.225
Križevci,2023,16.057,13.336,56.614,1.381,7.878,207.947
Križevci,2024,15.297,12.81,60.863,0.479,5.281,196.891
Križevci,2025,12.319,10.411,66.847,0.459,4.16,180.393
Krško,2020,15.283,11.988,50.931,1.318,8.921,179.594
Krško,2021,18.489,13.651,51.08,1.598,10.671,228.146
Krško,2022,15.677,12.928,64.229,1.352,5.718,160.621
Krško,2023,16.554,13.541,59.037,1.377,8.213,195.377
Krško,2024,14.587,12.033,61.953,0.452,4.979,184.126
Krško,2025,12.233,10.305,66.663,0.451,4.406,173.637
Kungota,2020,13.691,11.144,52.418,1.208,6.881,182.133
Kungota,2021,15.621,11.571,60.159,1.26,8.107,223.296
Kungota,2022,15.29,12.27,66.19,1.009,6.77,156.551
Kungota,2023,13.186,10.341,64.45,1.244,7.134,191.843
Kungota,2024,12.458,10.081,63.606,0.433,4.95,179.425
Kungota,2025,10.997,9.097,68.838,0.396,4.04,171.772
Kuzma,2020,14.509,11.491,55.09,1.087,7.615,189.277
Kuzma,2021,16.098,12.128,59.269,1.224,8.396,231.995
Kuzma,2022,14.249,11.468,63.045,1.033,5.921,162.866
Kuzma,2023,14.172,11.288,60.49,1.161,7.23,205.541
Kuzma,2024,13.1,10.867,61.834,0.405,4.64,189.19
Kuzma,2025,10.715,8.998,67.275,0.402,3.545,175.625
Laško,2020,16.019,11.819,49.058,1.667,9.317,176.207
Laško,2021,17.861,12.733,53.957,1.708,10.019,227.606
Laško,2022,16.913,13.819,65.438,1.437,5.914,159.376
Laško,2023,16.199,12.939,62.113,1.391,6.772,192.072
Laško,2024,13.812,11.296,64.686,0.466,3.97,179.507
Laško,2025,11.573,9.689,69.338,0.439,3.262,168.998
Kočevje,2020,10.579,8.123,61.377,0.909,4.139,158.294
Kočevje,2021,12.954,9.02,58.259,0.956,4.37,196.108
Kočevje,2022,11.67,9.139,68.791,1.254,3.195,141.366
Kočevje,2023,12.524,9.646,61.289,1.305,4.023,169.632
Kočevje,2024,10.576,8.113,65.52,0.351,2.363,159.459
Kočevje,2025,9.196,7.341,70.986,0.382,1.991,153.992
Kostel,2020,10.272,7.942,61.538,0.936,3.496,157.636
Kostel,2021,12.531,8.771,57.027,0.985,3.702,194.337
Kostel,2022,11.255,8.758,68.65,1.364,2.768,139.559
Kostel,2023,12.029,9.293,60.921,1.368,3.327,168.062
Kostel,2024,10.155,7.693,66.321,0.338,1.94,157.308
Kostel,2025,8.9,7.085,71.603,0.361,1.628,153.115
Kozje,2020,14.755,11.52,55.231,1.432,7.046,177.901
Kozje,2021,17.666,13.164,54.055,1.655,9.035,227.676
Kozje,2022,15.518,12.811,66.237,1.445,5.148,159.703
Kozje,2023,15.157,12.42,62.598,1.363,6.092,191.525
Kozje,2024,13.825,11.264,64.558,0.437,3.882,179.864
Kozje,2025,11.665,9.804,69.404,0.423,3.315,170.978
Kranj,2020,15.692,12.4,60.477,1.237,10.912,175.452
Kranj,2021,17.004,12.139,62.737,1.038,12.765,222.019
Kranj,2022,17.273,13.777,60.092,1.157,9.055,164.298
Kranj,2023,18.04,14.179,68.232,1.303,10.889,200.198
Kranj,2024,14.87,12.159,61.441,0.55,7.479,183.463
Kranj,2025,13.048,10.824,66.468,0.531,6.821,171.534
Kranjska Gora,2020,9.728,7.024,59.344,0.538,5.094,139.56
Kranjska Gora,2021,10.352,7.004,60.937,0.443,6.34,172.588
Kranjska Gora,2022,10.907,7.695,63.97,0.64,4.607,131.416
Kranjska Gora,2023,10.114,7.533,68.234,0.614,4.027,150.922
Kranjska Gora,2024,7.656,5.838,69.157,0.185,2.06,141.572
Kranjska Gora,2025,7.395,5.899,73.11,0.194,1.784,140.051
Mežica,2020,13.491,10.091,53.119,0.795,6.59,162.934
Mežica,2021,14.553,10.405,57.866,0.823,8.346,212.467
Mežica,2022,14.851,11.038,62.257,0.793,5.784,145.633
Mežica,2023,14.299,10.742,63.673,0.94,6.594,179.312
Mežica,2024,11.363,9.257,61.718,0.272,4.248,171.943
