event_id,event_name,event_type,pollutant,display_unit,date_from,date_to,day_index,region_code,region_name,value_mean,value_min,value_max,value_stdev,sample_count,no_data_count,data_mask_valid_count,source,aggregation_interval,quality_status
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-13T00:00:00Z,2025-12-14T00:00:00Z,13,SI032,Podravska,25.882117450237274,25.2360999584198,26.32085420191288,0.40721110419864964,180,175,5,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-14T00:00:00Z,2025-12-15T00:00:00Z,14,SI032,Podravska,29.25411045305,24.25258792936802,32.484836876392365,1.4807881216815209,180,59,121,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-15T00:00:00Z,2025-12-16T00:00:00Z,15,SI032,Podravska,28.86318298009764,25.52049420773983,30.732469633221626,1.1571708062841735,180,61,119,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-16T00:00:00Z,2025-12-17T00:00:00Z,16,SI032,Podravska,,,,,180,180,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-17T00:00:00Z,2025-12-18T00:00:00Z,17,SI032,Podravska,31.883126997854546,27.851417660713196,36.7203950881958,1.9216114294638662,180,52,128,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-18T00:00:00Z,2025-12-19T00:00:00Z,18,SI032,Podravska,30.50559690930474,26.74384042620659,37.35166788101196,2.5156078181728723,180,109,71,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-19T00:00:00Z,2025-12-20T00:00:00Z,19,SI032,Podravska,29.574377476819777,25.598568841814995,32.32185170054436,1.5226484552181483,180,52,128,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-20T00:00:00Z,2025-12-21T00:00:00Z,20,SI032,Podravska,29.80685327202082,20.727351307868958,32.78497979044914,2.1613065862532936,180,60,120,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-21T00:00:00Z,2025-12-22T00:00:00Z,21,SI032,Podravska,29.393154250319338,25.723716244101524,32.026298344135284,1.376778591046985,180,59,121,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-22T00:00:00Z,2025-12-23T00:00:00Z,22,SI032,Podravska,29.92853777663363,26.93975530564785,35.27434542775154,1.3695948360255148,180,56,124,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-23T00:00:00Z,2025-12-24T00:00:00Z,23,SI032,Podravska,32.64412007017715,24.477306753396988,37.62625530362129,2.392681479383375,180,106,74,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-24T00:00:00Z,2025-12-25T00:00:00Z,24,SI032,Podravska,33.60898904502391,30.578548088669777,39.074696600437164,2.041512767435623,180,160,20,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-25T00:00:00Z,2025-12-26T00:00:00Z,25,SI032,Podravska,32.56618433765003,28.193404898047447,34.85124930739403,1.2464890776931628,180,75,105,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-26T00:00:00Z,2025-12-27T00:00:00Z,26,SI032,Podravska,31.825121666770436,26.261670514941216,34.27353873848915,1.7708272190951546,180,52,128,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-27T00:00:00Z,2025-12-28T00:00:00Z,27,SI032,Podravska,30.504721622818558,22.586658596992493,38.33192214369774,3.512336484862188,180,102,78,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-28T00:00:00Z,2025-12-29T00:00:00Z,28,SI032,Podravska,33.14472439209212,25.000352412462234,38.83557394146919,2.91826381268056,180,83,97,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
